index,storeName,placeId,address,category,phone,googleUrl,ratingText,latitude,longitude,stars,numberOfReviews
87,Panties Pizza - Klampis Ngasem,ChIJL6W9wEf61y0RZ-iuMUwmYCY,,Kafe,"",https://www.google.com/maps/place/Panties+Pizza+-+Klampis+Ngasem/data=!4m7!3m6!1s0x2dd7fa47c0bda52f:0x2660264c31aee867!8m2!3d-7.2820563!4d112.7744181!16s%2Fg%2F11b7yw1_11!19sChIJL6W9wEf61y0RZ-iuMUwmYCY?authuser=0&hl=id&rclk=1,"4,4 bintang 1.770 Ulasan",-7.2820563,112.7744181,4.4,1.77
88,"Tabletoys Boardgames Library, Cafe, and Store",ChIJqcm5-hz61y0RHR2b_R7JUZw,,Klub permainan papan,"","https://www.google.com/maps/place/Tabletoys+Boardgames+Library,+Cafe,+and+Store/data=!4m7!3m6!1s0x2dd7fa1cfab9c9a9:0x9c51c91efd9b1d1d!8m2!3d-7.2673051!4d112.7963064!16s%2Fg%2F11g6yk165s!19sChIJqcm5-hz61y0RHR2b_R7JUZw?authuser=0&hl=id&rclk=1","4,8 bintang 548 Ulasan",-7.2673051,112.7963064,4.8,548
89,Cocoro Surabaya,ChIJ08PjtvX51y0RBqpIaXpMsTc,Jl. Mulyosari Utara No.06,Kafe,"",https://www.google.com/maps/place/Cocoro+Surabaya/data=!4m7!3m6!1s0x2dd7f9f5b6e3c3d3:0x37b14c7a6948aa06!8m2!3d-7.2620049!4d112.7960531!16s%2Fg%2F11gv1b12h8!19sChIJ08PjtvX51y0RBqpIaXpMsTc?authuser=0&hl=id&rclk=1,"4,8 bintang 89 Ulasan",-7.2620049,112.7960531,4.8,89
90,Kopisae Margorejo | Cafe Kekinian dan Resto Surabaya Pusat,ChIJU3Reef_71y0RhuKh6oEzAJ4,Jl. Margorejo Indah No.A-134,Kedai Kopi,"",https://www.google.com/maps/place/Kopisae+Margorejo+%7C+Cafe+Kekinian+dan+Resto+Surabaya+Pusat/data=!4m7!3m6!1s0x2dd7fbff795e7453:0x9e003381eaa1e286!8m2!3d-7.318308!4d112.744134!16s%2Fg%2F11j01rp7l5!19sChIJU3Reef_71y0RhuKh6oEzAJ4?authuser=0&hl=id&rclk=1,"4,7 bintang 4.162 Ulasan",-7.318308,112.744134,4.7,4.162
91,KUNOKINI Cafe & Resto,ChIJzat_iqv71y0RDAziJxyKjCo,,Kafe,"",https://www.google.com/maps/place/KUNOKINI+Cafe+%26+Resto/data=!4m7!3m6!1s0x2dd7fbab8a7fabcd:0x2a8c8a1c27e20c0c!8m2!3d-7.3113882!4d112.7580768!16s%2Fg%2F11gy2j1c4q!19sChIJzat_iqv71y0RDAziJxyKjCo?authuser=0&hl=id&rclk=1,"4,4 bintang 3.240 Ulasan",-7.3113882,112.7580768,4.4,3.24
92,Raja Rawon,ChIJE3zEVEH61y0RGWzw8p12hwQ,"PQ6J+384, Jl. Dr. Ir. H. Soekarno",Kafe,"",https://www.google.com/maps/place/Raja+Rawon/data=!4m7!3m6!1s0x2dd7fa4154c47c13:0x487769df2f06c19!8m2!3d-7.289864!4d112.7808269!16s%2Fg%2F11b6s_jyhn!19sChIJE3zEVEH61y0RGWzw8p12hwQ?authuser=0&hl=id&rclk=1,"3,3 bintang 3 Ulasan",-7.289864,112.7808269,3.3,3
93,The Blue Cafe,ChIJSXRUGmf71y0RNBa2avKLmxs,"Pd. Tjandra Indah, Jl. Raya Taman Asri, Ruko Palm Square, Blok TF 8",Kafe,"",https://www.google.com/maps/place/The+Blue+Cafe/data=!4m7!3m6!1s0x2dd7fb671a547449:0x1b9b8bf26ab61634!8m2!3d-7.342937!4d112.7704456!16s%2Fg%2F11shj96z66!19sChIJSXRUGmf71y0RNBa2avKLmxs?authuser=0&hl=id&rclk=1,"4,9 bintang 15 Ulasan",-7.342937,112.7704456,4.9,15
94,TryMe Cafe,ChIJk12tK1j71y0RMm_BP-HxElM,Jl. Gubeng Jaya Langgar No.22b,Restoran,"",https://www.google.com/maps/place/TryMe+Cafe/data=!4m7!3m6!1s0x2dd7fb582bad5d93:0x5312f1e13fc16f32!8m2!3d-7.2728452!4d112.7532715!16s%2Fg%2F11fpfq36tw!19sChIJk12tK1j71y0RMm_BP-HxElM?authuser=0&hl=id&rclk=1,"5,0 bintang 7 Ulasan",-7.2728452,112.7532715,5,7
95,Cafe Gloria,ChIJGWONahz71y0RTc60_nNH-Ew,"Apartement Metropolis, Jl. Raya Tenggilis No.127",Kafe,"",https://www.google.com/maps/place/Cafe+Gloria/data=!4m7!3m6!1s0x2dd7fb1c6a8d6319:0x4cf84773feb4ce4d!8m2!3d-7.3200965!4d112.7583292!16s%2Fg%2F11b6c5nsg9!19sChIJGWONahz71y0RTc60_nNH-Ew?authuser=0&hl=id&rclk=1,"5,0 bintang 1 Ulasan",-7.3200965,112.7583292,5,1
96,BONCAFE RAYA GUBENG,ChIJHdhrVsj71y0RNwXC8yrtS_c,,Kafe,"",https://www.google.com/maps/place/BONCAFE+RAYA+GUBENG/data=!4m7!3m6!1s0x2dd7fbc8566bd81d:0xf74bed2af3c20537!8m2!3d-7.2718687!4d112.7483661!16s%2Fg%2F1thm5yn7!19sChIJHdhrVsj71y0RNwXC8yrtS_c?authuser=0&hl=id&rclk=1,"4,7 bintang 6.582 Ulasan",-7.2718687,112.7483661,4.7,6.582
97,Be waffle,ChIJLePh8GT51y0RjokLChCisbY,,Kafe,"",https://www.google.com/maps/place/Be+waffle/data=!4m7!3m6!1s0x2dd7f964f0e1e32d:0xb6b1a2100a0b898e!8m2!3d-7.258093!4d112.750537!16s%2Fg%2F11bc744dsn!19sChIJLePh8GT51y0RjokLChCisbY?authuser=0&hl=id&rclk=1,"4,3 bintang 2.055 Ulasan",-7.258093,112.750537,4.3,2.055
